id,armed,armed_factor,age,gender,race,white,black,hispanic,asian,native,other,city,state,signs_of_mental_illness,mental_illness,threat_level,attack,flee,flee_factor,body_camera,bodycam
3,gun,1,53,M,Asian,0,0,0,1,0,0,Shelton,WA,TRUE,1,attack,1,Not fleeing,0,FALSE,0
4,gun,1,47,M,White,1,0,0,0,0,0,Aloha,OR,FALSE,0,attack,1,Not fleeing,0,FALSE,0
5,unarmed,0,23,M,Hispanic,0,0,1,0,0,0,Wichita,KS,FALSE,0,other,0,Not fleeing,0,FALSE,0
8,toy weapon,1,32,M,White,1,0,0,0,0,0,San Francisco,CA,TRUE,1,attack,1,Not fleeing,0,FALSE,0
9,nail gun,1,39,M,Hispanic,0,0,1,0,0,0,Evans,CO,FALSE,0,attack,1,Not fleeing,0,FALSE,0
11,gun,1,18,M,White,1,0,0,0,0,0,Guthrie,OK,FALSE,0,attack,1,Not fleeing,0,FALSE,0
13,gun,1,22,M,Hispanic,0,0,1,0,0,0,Chandler,AZ,FALSE,0,attack,1,Car,1,FALSE,0
15,gun,1,35,M,White,1,0,0,0,0,0,Assaria,KS,FALSE,0,attack,1,Not fleeing,0,FALSE,0
16,unarmed,0,34,F,White,1,0,0,0,0,0,Burlington,IA,FALSE,0,other,0,Not fleeing,0,TRUE,1
17,toy weapon,1,47,M,Black,0,1,0,0,0,0,Knoxville,PA,FALSE,0,attack,1,Not fleeing,0,FALSE,0
19,knife,1,25,M,White,1,0,0,0,0,0,Stockton,CA,FALSE,0,attack,1,Not fleeing,0,FALSE,0
21,gun,1,31,M,Black,0,1,0,0,0,0,Freeport,TX,FALSE,0,attack,1,Not fleeing,0,FALSE,0
22,knife,1,41,M,Black,0,1,0,0,0,0,Columbus,OH,TRUE,1,other,0,Not fleeing,0,FALSE,0
25,gun,1,30,M,White,1,0,0,0,0,0,Des Moines,IA,FALSE,0,attack,1,Car,1,FALSE,0
27,gun,1,37,M,Black,0,1,0,0,0,0,New Orleans,LA,FALSE,0,attack,1,Foot,1,TRUE,1
29,unknown,1,28,M,White,1,0,0,0,0,0,Huntley,MT,FALSE,0,undetermined,0,Not fleeing,0,FALSE,0
32,shovel,1,42,M,White,1,0,0,0,0,0,Salt Lake City,UT,FALSE,0,attack,1,Not fleeing,0,TRUE,1
36,unarmed,0,36,M,Black,0,1,0,0,0,0,Strong,AR,FALSE,0,attack,1,Not fleeing,0,FALSE,0
37,gun,1,49,M,White,1,0,0,0,0,0,Syracuse,UT,FALSE,0,attack,1,Not fleeing,0,TRUE,1
